Removed Pin From Net: NetName=3V3 Pin=C11-1
Removed Pin From Net: NetName=3V3 Pin=C12-1
Removed Pin From Net: NetName=3V3 Pin=C13-1
Removed Pin From Net: NetName=GND Pin=C13-2
Removed Pin From Net: NetName=3V3 Pin=C14-1
Removed Pin From Net: NetName=GND Pin=C14-2
Removed Pin From Net: NetName=+5V Pin=C15-1
Removed Pin From Net: NetName=GND Pin=C15-2
Removed Pin From Net: NetName=+5V Pin=C16-1
Removed Pin From Net: NetName=GND Pin=C16-2
Removed Pin From Net: NetName=GND Pin=DA3-1
Removed Pin From Net: NetName=3V3 Pin=DA3-2
Removed Pin From Net: NetName=3V3 Pin=DA3-2
Removed Pin From Net: NetName=+5V Pin=DA3-3
Removed Pin From Net: NetName=3V3 Pin=HL1-A
Removed Pin From Net: NetName=GND Pin=R4-1
Removed Pin From Net: NetName=+5V Pin=XS3-1
Removed Pin From Net: NetName=GND Pin=XS3-2
Removed Member From Class: ClassName=powerful Member=C15
Removed Member From Class: ClassName=powerful Member=C16
Removed Member From Class: ClassName=powerful Member=DA3
Removed Member From Class: ClassName=powerful Member=HL1
Change Component Footprint: Designator=C11 Old Footprint=0805_cap New Footprint=0603_CAP
Change Component Footprint: Designator=C12 Old Footprint=0805_cap New Footprint=0603_CAP
Change Component Footprint: Designator=XS3 Old Footprint=STEP_2.54mm 2X1 New Footprint=PH4_2mm
Change Component Comment : Designator=C10 Old Comment=0,1 New Comment=0.1
Change Component Comment : Designator=C11 Old Comment=47p New Comment=100n
Change Component Comment : Designator=C12 Old Comment=47p New Comment=100n
Change Component Comment : Designator=R4 Old Comment=470 New Comment=10k
Change Component Comment : Designator=XS3 Old Comment=power_5v New Comment=TTL
Change Component Designator: OldDesignator=C1 NewDesignator=C13
Change Component Designator: OldDesignator=C2 NewDesignator=C14
Change Component Designator: OldDesignator=C3 NewDesignator=C1
Change Component Designator: OldDesignator=C4 NewDesignator=C2
Change Component Designator: OldDesignator=C5 NewDesignator=C3
Change Component Designator: OldDesignator=C6 NewDesignator=C4
Change Component Designator: OldDesignator=C7 NewDesignator=C5
Change Component Designator: OldDesignator=C8 NewDesignator=C6
Change Component Designator: OldDesignator=C9 NewDesignator=C7
Change Component Designator: OldDesignator=XS1 NewDesignator=XS4
Change Component Designator: OldDesignator=XS2 NewDesignator=XS1
Change component parameters: Designator = "C10" ("C10"); Footprint = "0402_CAP"; UniqueID = "\ERURXAHC" ("\ERURXAHC")
Change component parameters (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=C8(0402_CAP)
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Parameter 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "15p"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Конденсатор"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C9(0402_CAP)
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Parameter 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "15p"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Конденсатор"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R5(0402_res)
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R6(0402_res)
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R7(0402_res)
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R8(0603_RES)
Add component (AddParameter): Name = "Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "5k1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R9(0603_RES)
Add component (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R10(0603_RES)
Add component (AddParameter): Name = "Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "5k1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R11(0603_RES)
Add component (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R12(0603_RES)
Add component (AddParameter): Name = "Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R13(0603_RES)
Add component (AddParameter): Name = "Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R14(0603_RES)
Add component (AddParameter): Name = "Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "5k1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R15(0603_RES)
Add component (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R16(0603_RES)
Add component (AddParameter): Name = "Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "5k1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=R17(0603_RES)
Add component (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ValueType"; Value = "Резистор"; VariantName = "[No Variations]"
Added Component: Designator=XS2(step_2.5_4pin)
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=GND Pin=C9-1
Added Pin To Net: NetName=+5V Pin=R4-2
Added Pin To Net: NetName=+5V Pin=R5-2
Added Pin To Net: NetName=+5V Pin=R8-2
Added Pin To Net: NetName=+5V Pin=R10-2
Added Pin To Net: NetName=GND Pin=R12-1
Added Pin To Net: NetName=GND Pin=R13-1
Added Pin To Net: NetName=+5V Pin=R14-2
Added Pin To Net: NetName=+5V Pin=R16-2
Added Pin To Net: NetName=+5V Pin=X1-1
Added Pin To Net: NetName=GND Pin=X1-2
Added Pin To Net: NetName=AN_ACS Pin=X1-6
Added Pin To Net: NetName=+5V Pin=XS2-3
Added Pin To Net: NetName=GND Pin=XS2-4
Change Net Name : Old Net Name=NetC4_2 New Net Name=NetC2_2
Added Pin To Net: NetName=ENC_A Pin=R6-1
Added Pin To Net: NetName=ENC_A Pin=X2-1
Added Net: Name=ENC_A
Added Pin To Net: NetName=ENC_B Pin=R7-1
Added Pin To Net: NetName=ENC_B Pin=X2-2
Added Net: Name=ENC_B
Added Pin To Net: NetName=INA826OUT Pin=X1-5
Added Net: Name=INA826OUT
Added Pin To Net: NetName=NetC8_2 Pin=C8-2
Added Pin To Net: NetName=NetC8_2 Pin=R4-1
Added Pin To Net: NetName=NetC8_2 Pin=R7-2
Added Pin To Net: NetName=NetC8_2 Pin=XS2-2
Added Net: Name=NetC8_2
Added Pin To Net: NetName=NetC9_2 Pin=C9-2
Added Pin To Net: NetName=NetC9_2 Pin=R5-1
Added Pin To Net: NetName=NetC9_2 Pin=R6-2
Added Pin To Net: NetName=NetC9_2 Pin=XS2-1
Added Net: Name=NetC9_2
Added Pin To Net: NetName=TTL_A_IN_GPIO Pin=C12-1
Added Pin To Net: NetName=TTL_A_IN_GPIO Pin=R10-1
Added Pin To Net: NetName=TTL_A_IN_GPIO Pin=R11-1
Added Pin To Net: NetName=TTL_A_IN_GPIO Pin=R13-2
Added Pin To Net: NetName=TTL_A_IN_GPIO Pin=X1-4
Added Net: Name=TTL_A_IN_GPIO
Added Pin To Net: NetName=TTL_A_IN Pin=R11-2
Added Pin To Net: NetName=TTL_A_IN Pin=XS3-1
Added Net: Name=TTL_A_IN
Added Pin To Net: NetName=TTL_A_OUT_GPIO Pin=R16-1
Added Pin To Net: NetName=TTL_A_OUT_GPIO Pin=R17-1
Added Pin To Net: NetName=TTL_A_OUT_GPIO Pin=X2-3
Added Net: Name=TTL_A_OUT_GPIO
Added Pin To Net: NetName=TTL_A_OUT Pin=R17-2
Added Pin To Net: NetName=TTL_A_OUT Pin=XS3-2
Added Net: Name=TTL_A_OUT
Added Pin To Net: NetName=TTL_B_IN_GPIO Pin=C11-1
Added Pin To Net: NetName=TTL_B_IN_GPIO Pin=R8-1
Added Pin To Net: NetName=TTL_B_IN_GPIO Pin=R9-1
Added Pin To Net: NetName=TTL_B_IN_GPIO Pin=R12-2
Added Pin To Net: NetName=TTL_B_IN_GPIO Pin=X1-3
Added Net: Name=TTL_B_IN_GPIO
Added Pin To Net: NetName=TTL_B_IN Pin=R9-2
Added Pin To Net: NetName=TTL_B_IN Pin=XS3-3
Added Net: Name=TTL_B_IN
Added Pin To Net: NetName=TTL_B_OUT_GPIO Pin=R14-1
Added Pin To Net: NetName=TTL_B_OUT_GPIO Pin=R15-1
Added Pin To Net: NetName=TTL_B_OUT_GPIO Pin=X2-4
Added Net: Name=TTL_B_OUT_GPIO
Added Pin To Net: NetName=TTL_B_OUT Pin=R15-2
Added Pin To Net: NetName=TTL_B_OUT Pin=XS3-4
Added Net: Name=TTL_B_OUT
Added Member To Class: ClassName=powerful Member=Component R5 10k
Added Member To Class: ClassName=powerful Member=Component R6 1k
Added Member To Class: ClassName=powerful Member=Component R7 1k
Added Member To Class: ClassName=powerful Member=Component R8 5k1
Added Member To Class: ClassName=powerful Member=Component R9 22
